Country or area,Subregion,Region,Internet users,Population_2021,Year,Percentage_Internet_Users
China,Eastern Asia,Asia,1102140000,1425893465,2022,77.3
India,Southern Asia,Asia,881250000,1407563842,2024,62.6
United States,Northern America,Americas,311300000,336997624,2023,92.4
Indonesia,South-eastern Asia,Asia,215626156,273753191,2023,78.8
Pakistan,Southern Asia,Asia,170000000,240000000,2022,70.8
Brazil,South America,Americas,165300000,214326223,2022,77.1
Nigeria,Western Africa,Africa,136203231,213401323,2020,63.8
Russia,Eastern Europe,Europe,129800000,145102755,2022,89.5
Bangladesh,Southern Asia,Asia,126210000,166303498,2022,75.9
Japan,Eastern Asia,Asia,117400000,124612530,2021,94.2
Mexico,Northern America,Americas,96800000,128972439,2023,75.1
Egypt,Northern Africa,Africa,80750000,109262178,2023,73.9
Iran,Western Asia,Asia,78086663,87923432,2022,88.8
Germany,Western Europe,Europe,77794405,83408554,2021,93.3
Turkey,Southern Europe,Europe,74278491,84775404,2023,87.6
Philippines,South-eastern Asia,Asia,73003313,113880328,2021,64.1
Vietnam,South-eastern Asia,Asia,68172134,97468029,2021,69.9
United Kingdom,Northern Europe,Europe,65001016,67281039,2021,96.6
France,Western Europe,Europe,59470000,64531444,2021,92.2
South Korea,Eastern Asia,Asia,49421084,51830139,2021,95.4
Spain,Southern Europe,Europe,42400756,47486935,2021,89.3
Thailand,South-eastern Asia,Asia,54043108,71601103,2020,75.5
Italy,Southern Europe,Europe,50540000,59240329,2021,85.3
Saudi Arabia,Western Asia,Asia,34840000,35950396,2022,96.9
Poland,Eastern Europe,Europe,35741108,38307726,2023,93.3
Canada,Northern America,Americas,33950632,38155012,2021,89.0
Argentina,South America,Americas,40024673,45276780,2022,88.4
Tanzania,Eastern Africa,Africa,33090000,63588334,2023,52.0
South Africa,Southern Africa,Africa,31858027,59392255,2021,53.6
Colombia,South America,Americas,39340000,51516562,2023,76.4
Malaysia,South-eastern Asia,Asia,25343685,33573874,2021,75.5
Ukraine,Eastern Europe,Europe,28570000,43531422,2023,65.6
Algeria,Northern Africa,Africa,26350000,44177969,2021,59.6
Myanmar,South-eastern Asia,Asia,23650000,53798084,2021,44.0
Morocco,Northern Africa,Africa,22072765,37076584,2021,59.5
Taiwan,Eastern Asia,Asia,21920626,23859912,2021,91.9
Australia,"Australia, New Zealand",Oceania,25309515,25921089,2023,97.6
Venezuela,South America,Americas,20564451,28199867,2021,72.9
Ethiopia,Eastern Africa,Africa,36400000,120283026,2021,30.3
Iraq,Western Asia,Asia,18892351,43533592,2021,43.4
Uzbekistan,Central Asia,Asia,16692456,34081449,2021,49.0
Nepal,Southern Asia,Asia,16190000,30034989,2021,53.9
Netherlands,Western Europe,Europe,15877494,17501696,2021,90.7
Peru,South America,Americas,15674241,33715471,2021,46.5
Chile,South America,Americas,14864456,19493184,2021,76.3
Kazakhstan,Central Asia,Asia,13913699,19196465,2021,72.5
Romania,Eastern Europe,Europe,12545558,19328560,2021,64.9
Sudan,Northern Africa,Africa,12512639,45657202,2021,27.4
Ghana,Western Africa,Africa,15065541,32833031,2021,45.9
Côte d'Ivoire,Western Africa,Africa,10650818,27478249,2021,38.8
Uganda,Eastern Africa,Africa,10162807,45853778,2021,22.2
Belgium,Western Europe,Europe,10021242,11611419,2021,86.3
Sweden,Northern Europe,Europe,10008638,10467097,2023,95.6
Ecuador,South America,Americas,9521056,17797737,2021,53.5
United Arab Emirates,Western Asia,Asia,8913217,9365145,2021,95.2
Kenya,Eastern Africa,Africa,8861485,53005614,2021,16.7
