incident_fact_id,country_id,year_id,attack_type_id,target_industry_id,attack_source_id,vulnerability_id,defense_mechanism_id,financial_loss_category_id,affected_users_category_id,resolution_time_category_id,financial_loss_in_million,financial_loss_usd,number_of_affected_users,incident_resolution_time_in_hours,cei,gci,ncsi,ddl,internet_users,population_2021,percentage_internet_users
1,42,5,4,2,1,2,5,3,3,1,80.53,80530000.0,773169,63,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
2,42,5,5,6,1,2,4,1,4,1,62.19,62190000.0,295961,71,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
3,92,3,3,5,1,3,5,4,2,3,38.65,38650000.0,605895,20,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
4,211,10,5,7,3,1,1,4,2,3,41.44,41440000.0,659320,7,0.207,99.54,89.61,79.96,65001016,67281039,96.6
5,76,4,3,5,2,1,5,1,3,1,74.41,74410000.0,810682,68,0.241,97.41,90.91,80.01,77794405,83408554,93.3
6,76,3,3,6,4,1,2,3,4,2,98.24,98240000.0,285201,25,0.241,97.41,90.91,80.01,77794405,83408554,93.3
7,76,2,1,7,2,2,5,4,4,2,33.26,33259999.999999996,431262,34,0.241,97.41,90.91,80.01,77794405,83408554,93.3
8,71,4,6,3,4,1,2,1,3,1,59.23,59230000.0,909991,66,0.228,97.6,84.42,77.29,59470000,64531444,92.2
9,92,2,3,1,4,1,5,2,2,2,16.88,16880000.0,698249,47,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
10,211,9,1,4,1,2,4,1,2,1,69.14,69140000.0,685927,58,0.207,99.54,89.61,79.96,65001016,67281039,96.6
11,42,5,4,7,4,4,5,3,4,2,88.67,88670000.0,493675,29,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
12,42,2,6,4,1,2,1,4,3,2,38.81,38810000.0,920768,27,0.483,92.53,51.95,62.41,1102140000,1425893465,77.3
13,92,5,5,2,2,4,4,4,2,2,30.56,30560000.0,583204,37,0.597,97.5,59.74,40.02,881250000,1407563842,62.6
